id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
7918,2018,Hyderabad,26-04-2018,SH,KXP,KXP,field,normal,0,SH,13,0,AS Rajpoot,"Rajiv Gandhi International Stadium, Uppal",O Nandan,Yeshwant Barde,Rod Tucker
7919,2018,Delhi,27-04-2018,DD,KKR,KKR,field,normal,0,DD,55,0,SS Iyer,Feroz Shah Kotla,C Shamshuddin,S Ravi,A Nanda Kishore
7920,2018,Pune,28-04-2018,CSK,MI,MI,field,normal,0,MI,0,8,RG Sharma,Maharashtra Cricket Association Stadium,Chris Gaffaney,Nitin Menon,Anil Dandekar
7921,2018,Jaipur,29-04-2018,SH,RR,SH,bat,normal,0,SH,11,0,KS Williamson,Sawai Mansingh Stadium,Bruce Oxenford,A Nanda Kishore,S Ravi
7922,2018,Bengaluru,29-04-2018,RCB,KKR,KKR,field,normal,0,KKR,0,6,CA Lynn,M Chinnaswamy Stadium,Nigel Llong,Anil Chaudhary,Virender Kumar Sharma
7923,2018,Pune,30-04-2018,CSK,DD,DD,field,normal,0,CSK,13,0,SR Watson,Maharashtra Cricket Association Stadium,C Shamshuddin,Anil Dandekar,O Nandan
7924,2018,Bengaluru,01-05-2018,RCB,MI,MI,field,normal,0,RCB,14,0,TG Southee,M Chinnaswamy Stadium,Marais Erasmus,Nitin Menon,Yeshwant Barde
7925,2018,Delhi,02-05-2018,DD,RR,RR,field,normal,1,DD,4,0,RR Pant,Feroz Shah Kotla,O Nandan,Virender Kumar Sharma,Bruce Oxenford
7926,2018,Kolkata,03-05-2018,CSK,KKR,KKR,field,normal,0,KKR,0,6,SP Narine,Eden Gardens,Kumar Dharmasena,A.D Deshmukh,Anil Chaudhary
7927,2018,Indore,04-05-2018,KXP,MI,MI,field,normal,0,MI,0,6,AS Yadav,Holkar Cricket Stadium,S Ravi,Anil Dandekar,C Shamshuddin
7928,2018,Pune,05-05-2018,RCB,CSK,CSK,field,normal,0,CSK,0,6,RA Jadeja,Maharashtra Cricket Association Stadium,Nitin Menon,Yeshwant Barde,Marais Erasmus
7929,2018,Hyderabad,05-05-2018,DD,SH,DD,bat,normal,0,SH,0,7,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Bruce Oxenford,O Nandan,Virender Kumar Sharma
7930,2018,Mumbai,06-05-2018,MI,KKR,KKR,field,normal,0,MI,13,0,HH Pandya,Wankhede Stadium,Kumar Dharmasena,A.D Deshmukh,Anil Chaudhary
7931,2018,Indore,06-05-2018,RR,KXP,KXP,field,normal,0,KXP,0,6,M Ur Rahman,Holkar Cricket Stadium,C Shamshuddin,S Ravi,Anil Dandekar
7932,2018,Hyderabad,07-05-2018,SH,RCB,RCB,field,normal,0,SH,5,0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",Bruce Oxenford,Virender Kumar Sharma,O Nandan
7933,2018,Jaipur,08-05-2018,RR,KXP,RR,bat,normal,0,RR,15,0,JC Buttler,Sawai Mansingh Stadium,Marais Erasmus,Nitin Menon,Yeshwant Barde
7934,2018,Kolkata,09-05-2018,MI,KKR,KKR,field,normal,0,MI,102,0,Ishan Kishan,Eden Gardens,Anil Chaudhary,K Ananthapadmanabhan,Kumar Dharmasena
7935,2018,Delhi,10-05-2018,DD,SH,DD,bat,normal,0,SH,0,9,S Dhawan,Feroz Shah Kotla,C Shamshuddin,Anil Dandekar,S Ravi
7936,2018,Jaipur,11-05-2018,CSK,RR,CSK,bat,normal,0,RR,0,4,JC Buttler,Sawai Mansingh Stadium,Marais Erasmus,Yeshwant Barde,Nitin Menon
7937,2018,Indore,12-05-2018,KKR,KXP,KXP,field,normal,0,KKR,31,0,SP Narine,Holkar Cricket Stadium,O Nandan,Virender Kumar Sharma,Bruce Oxenford
7938,2018,Delhi,12-05-2018,DD,RCB,RCB,field,normal,0,RCB,0,5,AB de Villiers,Feroz Shah Kotla,Kumar Dharmasena,Anil Chaudhary,K Ananthapadmanabhan
7939,2018,Pune,13-05-2018,SH,CSK,CSK,field,normal,0,CSK,0,8,AT Rayudu,Maharashtra Cricket Association Stadium,Marais Erasmus,Yeshwant Barde,Anil Dandekar
7940,2018,Mumbai,13-05-2018,MI,RR,RR,field,normal,0,RR,0,7,JC Buttler,Wankhede Stadium,Nitin Menon,S Ravi,C Shamshuddin
7941,2018,Indore,14-05-2018,KXP,RCB,RCB,field,normal,0,RCB,0,10,UT Yadav,Holkar Cricket Stadium,Bruce Oxenford,Virender Kumar Sharma,O Nandan
7942,2018,Kolkata,15-05-2018,RR,KKR,KKR,field,normal,0,KKR,0,6,Kuldeep Yadav,Eden Gardens,Kumar Dharmasena,Anil Chaudhary,Vineet Kulkarni
7943,2018,Mumbai,16-05-2018,MI,KXP,KXP,field,normal,0,MI,3,0,JJ Bumrah,Wankhede Stadium,Marais Erasmus,Nitin Menon,Yeshwant Barde
7944,2018,Bengaluru,17-05-2018,RCB,SH,SH,field,normal,0,RCB,14,0,AB de Villiers,M Chinnaswamy Stadium,S Ravi,Anil Dandekar,C Shamshuddin
7945,2018,Delhi,18-05-2018,DD,CSK,CSK,field,normal,0,DD,34,0,HV Patel,Feroz Shah Kotla,Kumar Dharmasena,Vineet Kulkarni,O Nandan
7946,2018,Jaipur,19-05-2018,RR,RCB,RR,bat,normal,0,RR,30,0,S Gopal,Sawai Mansingh Stadium,Bruce Oxenford,Virender Kumar Sharma,C Shamshuddin
7947,2018,Hyderabad,19-05-2018,SH,KKR,SH,bat,normal,0,KKR,0,5,CA Lynn,"Rajiv Gandhi International Stadium, Uppal",Anil Chaudhary,S Ravi,Anil Dandekar
7948,2018,Delhi,20-05-2018,DD,MI,DD,bat,normal,0,DD,11,0,A Mishra,Feroz Shah Kotla,Kumar Dharmasena,O Nandan,Vineet Kulkarni
7949,2018,Pune,20-05-2018,KXP,CSK,CSK,field,normal,0,CSK,0,5,L Ngidi,Maharashtra Cricket Association Stadium,Nitin Menon,Yeshwant Barde,Marais Erasmus
7950,2018,Mumbai,22-05-2018,SH,CSK,CSK,field,normal,0,CSK,0,2,F du Plessis,Wankhede Stadium,Marais Erasmus,C Shamshuddin,S Ravi
7951,2018,Kolkata,23-05-2018,KKR,RR,RR,field,normal,0,KKR,25,0,AD Russell,Eden Gardens,Nitin Menon,Anil Chaudhary,Kumar Dharmasena
7952,2018,Kolkata,25-05-2018,SH,KKR,KKR,field,normal,0,SH,14,0,Rashid Khan,Eden Gardens,Nitin Menon,Kumar Dharmasena,Anil Chaudhary
7953,2018,Mumbai,27-05-2018,SH,CSK,CSK,field,normal,0,CSK,0,8,SR Watson,Wankhede Stadium,Marais Erasmus,S Ravi,Nitin Menon
